directory,positive,negative,neutral,unlabelled,total,accuracy,ex_accuracy
cg-0,31,93,0,0,124,25.0,25.0
cg-1,0,116,0,0,116,0.0,0.0
cg-2,0,542,4,0,546,0.0,0.738
cg-3,2,443,27,0,472,0.4494,6.5169
cg-4,0,36,4,0,40,0.0,11.1111
cg-5,14,415,70,0,499,3.2634,19.5804
cg-6,5,355,1,0,361,1.3889,1.6667
cg-7,0,236,2,0,238,0.0,0.8475
cg-8,0,34,0,0,34,0.0,0.0
cg-10,2,294,4,394,694,0.6757,2.027
cg-11,1,95,5,539,640,1.0417,6.25
cg-12,0,200,37,832,1069,0.0,18.5
cg-13,7,231,30,0,268,2.9412,15.5462
cg-14,8,180,18,747,953,4.2553,13.8298
cg-15,9,99,17,0,125,8.3333,24.0741
cg-16,4,128,11,0,143,3.0303,11.3636
cg-17,4,96,21,0,121,4.0,25.0
cg-18,108,749,0,0,857,12.6021,12.6021
cg-19,25,518,51,3955,4549,4.6041,13.9963
cg-20,98,1407,170,0,1675,6.5116,17.8073
cg-21,248,1104,111,5600,7063,18.3432,26.5533
cg-22,51,210,52,701,1014,19.5402,39.4636
cg-23,18,54,37,370,479,25.0,76.3889
cg-24,87,307,206,0,600,22.0812,74.3655
